,name,alpha-3,region,sub-region,year,CO2,renewable,no_renewable,GDP,Population
1,Albania,ALB,Europe,Southern Europe,2018,5110.000134,100,0,15147020535,2866376
2,Albania,ALB,Europe,Southern Europe,2019,4829.999924,100,0,15279183290,2854191
3,Algeria,DZA,Africa,Northern Africa,2018,165539.9933,1.01,98.99,1.75406E+11,42228415
4,Algeria,DZA,Africa,Northern Africa,2019,171250,0.98,99.02,1.71091E+11,43053054
5,Angola,AGO,Africa,Sub-Saharan Africa,2018,23959.99908,76.27,23.73,1.01353E+11,30809787
6,Angola,AGO,Africa,Sub-Saharan Africa,2019,25209.99908,81.48,18.52,88815697793,31825299
7,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2018,509.9999905,3.85,96.15,1605351852,96282
8,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2019,519.9999809,4.39,95.61,1661962963,97115
9,Argentina,ARG,Americas,Latin America and the Caribbean,2018,176899.9939,30.29,69.71,5.17627E+11,44494502
10,Argentina,ARG,Americas,Latin America and the Caribbean,2019,168100.0061,33.11,66.89,4.45445E+11,44938712
11,Austria,AUT,Europe,Western Europe,2018,63060.00137,78.59,21.41,4.55095E+11,8840521
12,Austria,AUT,Europe,Western Europe,2019,64769.99664,78.34,21.66,4.45075E+11,8879920
13,Azerbaijan,AZE,Asia,Western Asia,2018,32729.99954,9.15,90.85,47112941176,9939771
14,Azerbaijan,AZE,Asia,Western Asia,2019,35509.99832,8.23,91.77,48047647059,10024283
15,Bahamas,BHS,Americas,Latin America and the Caribbean,2018,2799.999952,0.16,99.84,13022100000,385635
16,Bahamas,BHS,Americas,Latin America and the Caribbean,2019,2839.999914,0.16,99.84,13578800000,389486
17,Bahrain,BHR,Asia,Western Asia,2018,30809.99947,0.03,99.97,37652500000,1569440
18,Bahrain,BHR,Asia,Western Asia,2019,33259.99832,0.03,99.97,38574069149,1641164
19,Bangladesh,BGD,Asia,Southern Asia,2018,83449.99695,1.86,98.14,2.74039E+11,161376713
20,Bangladesh,BGD,Asia,Southern Asia,2019,90739.99786,1.57,98.43,3.02571E+11,163046173
21,Barbados,BRB,Americas,Latin America and the Caribbean,2018,1240.00001,3.66,96.34,5086500000,286640
22,Barbados,BRB,Americas,Latin America and the Caribbean,2019,1250,3.94,96.06,5.21E+09,287021
23,Belarus,BLR,Europe,Eastern Europe,2018,58950.00076,2.73,97.27,60031262269,9438785
